mgra,free_spaces,paid_spaces,spaces,hourly,daily,monthly
3901,54.0,22.0,76.0,1.25,,
3902,78.0,33.0,111.0,1.25,,
3904,17.0,22.0,39.0,1.25,,
3906,5.0,0.0,5.0,,,
3907,34.0,47.0,81.0,,,
3908,0.0,20.0,20.0,,,
3909,0.0,8.0,8.0,,,
3910,32.0,12.0,44.0,,,
3912,35.0,54.0,89.0,,,
3913,21.0,45.0,66.0,,,
3914,27.0,79.0,106.0,,,
3915,31.0,30.0,61.0,,,
3938,292.0,1122.0,1414.0,17.8846153846153,40.3846153846153,75.0
4016,131.0,96.0,227.0,5.0,,
4046,100.0,118.0,218.0,1.25,,
4048,2.0,0.0,2.0,,,
4073,201.0,0.0,201.0,,,
4074,288.0,29.0,317.0,1.25,,
4075,309.0,12.0,321.0,1.25,,
4120,168.0,0.0,168.0,,,
4168,7.0,711.0,718.0,2.0,12.0,
4169,18.0,0.0,18.0,,,
4170,397.0,0.0,397.0,,,
4171,29.0,330.0,359.0,2.875,40.1,
4172,14.0,134.0,148.0,4.705792682926825,19.8932926829268,
4173,119.0,41.0,160.0,,,
4174,16.0,0.0,16.0,,,
4175,9.0,18.0,27.0,1.25,,
4176,159.0,32.0,191.0,,,
4190,111.0,37.0,148.0,,,
4198,325.0,7.0,332.0,,,
4202,80.0,0.0,80.0,,,
4203,94.0,0.0,94.0,,,
4222,60.0,56.0,116.0,,,
4223,115.0,0.0,115.0,,,
4228,32.0,0.0,32.0,,,
4229,184.0,0.0,184.0,,,
4230,625.0,0.0,625.0,,,
4231,133.0,0.0,133.0,,,
4232,257.0,0.0,257.0,,,
4235,238.0,59.0,297.0,3.0,24.0,
4266,275.0,0.0,275.0,,,
4276,735.0,787.0,1522.0,2.75,5.975,100.5
4298,17.0,0.0,17.0,,,
4299,30.0,27.0,57.0,1.25,,
4300,24.0,0.0,24.0,,,
4312,53.0,0.0,53.0,,,
4495,20.0,0.0,20.0,,,
4496,601.0,601.0,1202.0,3.0,,
4583,169.0,155.0,324.0,3.0,,
4584,64.0,850.0,914.0,,,
4621,525.0,24.0,549.0,,,
4870,307.0,0.0,307.0,,,
4871,380.0,0.0,380.0,,,
4900,114.0,2.0,116.0,,,
4910,30.0,852.0,882.0,10.0,19.95,
4923,15.0,1052.0,1067.0,16.0,32.0,252.5
4926,0.0,12.0,12.0,,,
4960,42.0,0.0,42.0,,,
4976,132.0,0.0,132.0,,,
4977,10.0,447.0,457.0,,,
4985,397.0,0.0,397.0,,,
4991,34.0,0.0,34.0,,,
5033,0.0,21.0,21.0,1.5,,
5049,26.0,0.0,26.0,,,
5057,276.0,0.0,276.0,,,
5066,175.0,0.0,175.0,,,
5099,90.0,0.0,90.0,,,
5107,294.0,290.0,584.0,0.25,,
5116,30.0,0.0,30.0,,,
5126,313.0,6.0,319.0,,,
5143,94.0,119.0,213.0,4.588025254031205,12.0,65.0
5149,28.0,6.0,34.0,,,
5158,61.0,1016.0,1077.0,,,
5159,16.0,538.0,554.0,1.25,,
5171,492.0,500.0,992.0,3.0,7.0,
5172,154.0,0.0,154.0,,,
5177,46.0,0.0,46.0,,,
5192,290.0,17.0,307.0,1.0,,
5225,56.0,0.0,56.0,,,
5238,121.0,0.0,121.0,,,
5245,198.0,41.0,239.0,1.25,,
5287,59.0,0.0,59.0,,,
5288,123.0,65.0,188.0,1.25,,
5303,36.0,0.0,36.0,,,
5304,2208.0,3893.0,6101.0,3.0,15.0,
5314,175.0,149.0,324.0,,,
5320,84.0,0.0,84.0,,,
5334,160.0,0.0,160.0,,,
5341,319.0,0.0,319.0,,,
5342,115.0,7.0,122.0,1.25,,
5358,170.0,161.0,331.0,1.5,5.0,
5360,1001.0,0.0,1001.0,,,
5398,161.0,0.0,161.0,,,
5424,104.0,43.0,147.0,1.5,,
5428,210.0,148.0,358.0,0.25,,
5469,172.0,0.0,172.0,,,
5493,350.0,275.0,625.0,10.0,15.3488372093023,175.813953488372
5495,167.0,253.0,420.0,1.25,,
5503,40.0,144.0,184.0,1.25,,
5524,342.0,67.0,409.0,,,
5528,237.0,49.0,286.0,1.25,,
5562,48.0,1301.0,1349.0,18.0,27.0,
5565,143.0,198.0,341.0,1.25,,
5577,149.0,0.0,149.0,,,
5582,137.0,1.0,138.0,0.25,,
5611,96.0,0.0,96.0,,,
5615,18.0,86.0,104.0,,,
5619,451.0,900.0,1351.0,8.125,,
5625,502.0,219.0,721.0,,,
5626,52.0,965.0,1017.0,2.40427927927927,11.6073968705547,5.52631578947368
5671,45.0,0.0,45.0,,,
5681,53.0,0.0,53.0,,,
5682,12.0,0.0,12.0,,,
5683,85.0,0.0,85.0,,,
5698,72.0,0.0,72.0,,,
5710,260.0,0.0,260.0,,,
5721,16.0,0.0,16.0,,,
5736,548.0,2128.0,2676.0,2.77797202797202,4.19580419580419,
5741,15.0,294.0,309.0,3.0,11.2435897435897,
5747,180.0,0.0,180.0,,,
5751,134.0,0.0,134.0,,,
5761,19.0,46.0,65.0,1.25,,
5779,227.0,121.0,348.0,,,
5799,300.0,0.0,300.0,,,
5801,16.0,410.0,426.0,8.0,24.2484227129337,175.0
5815,12.0,722.0,734.0,6.125,31.5,
5821,225.0,62.0,287.0,1.25,,
5839,173.0,57.0,230.0,,,
5873,211.0,0.0,211.0,,,
5911,92.0,0.0,92.0,,,
5922,65.0,37.0,102.0,1.25,,
5939,218.0,243.0,461.0,1.679939854586285,,
5940,67.0,33.0,100.0,,,
5950,303.0,0.0,303.0,,,
5995,32.0,91.0,123.0,,,
6011,434.0,0.0,434.0,,,
6037,212.0,69.0,281.0,2.125,8.0,90.0
6040,15.0,0.0,15.0,,,
6047,590.0,91.0,681.0,,,
6066,23.0,0.0,23.0,,,
6072,68.0,580.0,648.0,,,
6090,1720.0,0.0,1720.0,,,
6104,425.0,54.0,479.0,,,
6122,31.0,0.0,31.0,,,
6129,174.0,2.0,176.0,1.25,,
6155,461.0,1020.0,1481.0,8.0,12.5,182.5
6164,418.0,0.0,418.0,,,
6173,189.0,0.0,189.0,,,
6179,186.0,117.0,303.0,1.5,2.0,
6200,6.0,0.0,6.0,,,
6208,110.0,78.0,188.0,,,
6212,279.0,119.0,398.0,0.25,,
6227,4.0,124.0,128.0,,,
6267,68.0,604.0,672.0,,13.0,
6268,138.0,0.0,138.0,,,
6271,1188.0,182.0,1370.0,2.631377551020405,4.76275510204081,
6283,16.0,40.0,56.0,0.75,,
6284,45.0,1365.0,1410.0,,7.5,
6291,52.0,70.0,122.0,,,
6293,43.0,17.0,60.0,,,
6303,277.0,0.0,277.0,,,
6309,302.0,302.0,604.0,3.0,5.5,90.0
6328,60.0,2.0,62.0,1.25,,
6333,59.0,119.0,178.0,5.0,,
6339,14.0,42.0,56.0,1.25,,
6381,216.0,43.0,259.0,1.25,,
6419,14.0,9.0,23.0,,,
6421,31.0,1616.0,1647.0,5.38461538461538,12.3076923076923,
6427,39.0,765.0,804.0,2.228155339805825,18.9931427795505,
6434,106.0,67.0,173.0,3.125,10.0,
6452,8.0,333.0,341.0,3.75,21.0,
6466,96.0,3.0,99.0,1.25,,
6516,20.0,59.0,79.0,,,
6527,0.0,150.0,150.0,1.5,,
6532,271.0,1202.0,1473.0,,,
6540,87.0,0.0,87.0,,,
6594,14.0,0.0,14.0,,,
6603,52.0,11.0,63.0,,,
6611,308.0,518.0,826.0,6.625,30.0,242.5
6617,3.0,0.0,3.0,,,
6619,5.0,24.0,29.0,1.25,,
6625,309.0,0.0,309.0,,,
6631,68.0,33.0,101.0,,,
6644,190.0,0.0,190.0,,,
6647,240.0,63.0,303.0,2.25,10.0,
6669,177.0,32.0,209.0,,,
6678,284.0,99.0,383.0,,,
6689,11.0,0.0,11.0,,,
6696,198.0,3.0,201.0,,,
6697,304.0,359.0,663.0,,,
6699,30.0,931.0,961.0,,,
6723,174.0,52.0,226.0,1.5,,
6726,39.0,666.0,705.0,1.25,,
6742,131.0,0.0,131.0,,,
6760,95.0,0.0,95.0,,,
6773,1172.0,0.0,1172.0,,,
6794,367.0,0.0,367.0,,,
6795,124.0,116.0,240.0,,,
6801,307.0,48.0,355.0,3.125,15.0,85.0
6856,88.0,0.0,88.0,,,
6882,218.0,14.0,232.0,1.25,,
6886,14.0,53.0,67.0,,,
6914,28.0,130.0,158.0,,,
6921,16.0,69.0,85.0,1.25,,
6942,298.0,0.0,298.0,,,
6943,179.0,0.0,179.0,,,
6997,126.0,126.0,252.0,3.0,5.9,93.0
7007,300.0,0.0,300.0,,,
7015,400.0,239.0,639.0,0.25,,
7017,202.0,623.0,825.0,,,
7023,55.0,129.0,184.0,,,
7026,51.0,482.0,533.0,4.62299876270106,17.7366240485921,
7047,191.0,7.0,198.0,15.0,50.0,
7058,18.0,0.0,18.0,,,
7073,32.0,9.0,41.0,1.25,,
7084,216.0,0.0,216.0,,,
7096,363.0,0.0,363.0,,,
7098,11.0,0.0,11.0,,,
7135,33.0,31.0,64.0,,50.0,
7136,8.0,155.0,163.0,6.125,20.0,
7137,210.0,388.0,598.0,4.5,24.0,
7140,172.0,0.0,172.0,,,
7154,277.0,0.0,277.0,,,
7161,29.0,210.0,239.0,,10.0,250.0
7167,387.0,269.0,656.0,3.0,15.0,
7174,14.0,1.0,15.0,,19.95,
7197,338.0,0.0,338.0,,,
7200,65.0,0.0,65.0,,,
7207,43.0,0.0,43.0,,,
7212,35.0,0.0,35.0,,,
7219,210.0,87.0,297.0,0.5,,
7238,266.0,34.0,300.0,1.25,,
7239,127.0,0.0,127.0,,,
7240,37.0,0.0,37.0,,,
7241,118.0,15.0,133.0,,,
7246,137.0,197.0,334.0,,,
7250,185.0,0.0,185.0,,,
7252,218.0,0.0,218.0,,,
7257,111.0,28.0,139.0,1.25,,
7280,288.0,0.0,288.0,,,
7290,248.0,85.0,333.0,1.25,,
7318,636.0,620.0,1256.0,,,
7325,2.0,0.0,2.0,,,
7335,112.0,75.0,187.0,0.75,,
7337,96.0,0.0,96.0,,,
7362,183.0,0.0,183.0,,,
7363,199.0,0.0,199.0,,,
7379,2.0,0.0,2.0,,,
7432,128.0,85.0,213.0,1.25,,
7449,369.0,100.0,469.0,,,
7456,114.0,906.0,1020.0,2.513888888888885,10.9705882352941,
7464,76.0,0.0,76.0,,,
7471,59.0,91.0,150.0,,,
7480,2.0,0.0,2.0,,,
7499,405.0,87.0,492.0,0.25,,
7501,112.0,41.0,153.0,,,
7513,243.0,4.0,247.0,,,
7528,13.0,12.0,25.0,,,
7545,63.0,984.0,1047.0,2.86015543132835,18.0424891253673,
7562,604.0,552.0,1156.0,3.0,15.0,
7595,73.0,0.0,73.0,,,
7599,206.0,0.0,206.0,,,
7621,64.0,0.0,64.0,,,
7624,64.0,0.0,64.0,,,
7627,73.0,0.0,73.0,,,
7633,224.0,271.0,495.0,30.0,30.0,
7675,216.0,204.0,420.0,7.0,5.0,
7679,186.0,0.0,186.0,,,
7683,67.0,0.0,67.0,,,
7687,603.0,0.0,603.0,,,
7699,158.0,67.0,225.0,1.25,,
7702,282.0,28.0,310.0,1.25,,
7706,40.0,355.0,395.0,,6.60596026490066,
7740,95.0,0.0,95.0,,,
7743,19.0,0.0,19.0,,,
7746,137.0,101.0,238.0,1.25,,
7760,187.0,0.0,187.0,,,
7775,526.0,9.0,535.0,1.25,,
7783,271.0,16.0,287.0,,,
7799,167.0,0.0,167.0,,,
7803,20.0,967.0,987.0,4.0,12.0,
7809,233.0,70.0,303.0,,,
7825,151.0,6.0,157.0,,,
7856,62.0,138.0,200.0,3.0,10.0,
7865,352.0,0.0,352.0,,,
7867,520.0,20.0,540.0,1.25,,
7883,350.0,374.0,724.0,2.75,5.975,100.5
7899,3.0,209.0,212.0,9.44190860764665,28.1748619914128,260.0
7936,60.0,0.0,60.0,,,
8000,242.0,0.0,242.0,,,
8022,20.0,224.0,244.0,,,
8038,0.0,818.0,818.0,,,
8050,141.0,0.0,141.0,,,
8075,6.0,29.0,35.0,,,
8088,156.0,106.0,262.0,,,
8091,9.0,573.0,582.0,,16.0,
8095,70.0,4326.0,4396.0,0.828971962616822,3.0,
8127,71.0,2891.0,2962.0,,25.0,
8141,135.0,0.0,135.0,,,
8160,87.0,0.0,87.0,,,
8167,48.0,534.0,582.0,5.75,40.1,
8172,186.0,22.0,208.0,0.75,,
8174,12.0,38.0,50.0,0.75,,
8213,535.0,166.0,701.0,1.25,,
8218,2.0,0.0,2.0,,,
8220,3.0,131.0,134.0,,,
8238,33.0,0.0,33.0,,,
8254,218.0,14.0,232.0,,,
8281,124.0,529.0,653.0,1.21348314606741,4.18025003956322,
8313,142.0,102.0,244.0,0.425491801872747,,
8314,108.0,224.0,332.0,0.25,,
8324,638.0,0.0,638.0,,,
8326,183.0,0.0,183.0,,,
8386,250.0,103.0,353.0,1.25,,
8388,72.0,1083.0,1155.0,10.75,35.25,150.0
8407,73.0,336.0,409.0,5.0,,
8449,277.0,130.0,407.0,,,
8454,298.0,14.0,312.0,,,
8455,36.0,1360.0,1396.0,,17.0,
8466,158.0,0.0,158.0,,,
8470,577.0,184.0,761.0,1.25,,
8493,1031.0,0.0,1031.0,,,
8527,12.0,976.0,988.0,4.0,18.0,
8531,12.0,0.0,12.0,,,
8534,32.0,0.0,32.0,,,
8549,8.0,35.0,43.0,1.5,,
8573,1262.0,0.0,1262.0,,,
8578,783.0,727.0,1510.0,5.0,10.0,
8582,117.0,682.0,799.0,6.125,38.75,
8584,196.0,0.0,196.0,,,
8596,185.0,165.0,350.0,,,
8603,87.0,0.0,87.0,,,
8604,282.0,0.0,282.0,,,
8651,19.0,0.0,19.0,,,
8666,348.0,29.0,377.0,1.5,,
8670,87.0,0.0,87.0,,,
8684,141.0,0.0,141.0,,,
8705,259.0,259.0,518.0,3.0,5.9,93.0
8735,643.0,89.0,732.0,,,
8742,6.0,18.0,24.0,2.5,,
8745,164.0,122.0,286.0,3.14754098360655,16.9360655737704,
8749,0.0,194.0,194.0,0.75,,
8769,96.0,34.0,130.0,,,
8771,0.0,205.0,205.0,3.125,16.0,
8791,246.0,0.0,246.0,,,
8806,100.0,0.0,100.0,,,
8838,11.0,321.0,332.0,3.125,20.0,
8853,51.0,0.0,51.0,,,
8861,192.0,51.0,243.0,1.25,,
8863,121.0,0.0,121.0,,,
8872,803.0,732.0,1535.0,1.5,8.0,
8877,39.0,242.0,281.0,,15.95,
8893,241.0,64.0,305.0,,,
8909,28.0,0.0,28.0,,,
8920,192.0,0.0,192.0,,,
8928,78.0,0.0,78.0,,,
8930,6.0,96.0,102.0,10.0,55.0,
8932,127.0,0.0,127.0,,,
8941,4.0,0.0,4.0,,,
8975,93.0,219.0,312.0,1.25,,
8976,1.0,0.0,1.0,,,
8977,56.0,0.0,56.0,,,
8988,48.0,0.0,48.0,,,
8996,120.0,13.0,133.0,,,
9009,74.0,41.0,115.0,,,200.0
9012,86.0,56.0,142.0,,,
9014,75.0,84.0,159.0,2.5,13.0,
9016,304.0,0.0,304.0,,,
9063,46.0,0.0,46.0,,,
9065,56.0,0.0,56.0,,,
9067,96.0,0.0,96.0,,,
9080,0.0,1390.0,1390.0,6.0,32.0,
9095,72.0,0.0,72.0,,,
9099,344.0,0.0,344.0,,,
9118,10.0,0.0,10.0,,,
9276,225.0,0.0,225.0,,,
9279,30.0,296.0,326.0,6.75,8.25,
9344,36.0,126.0,162.0,,,
9346,36.0,186.0,222.0,,,
9347,0.0,45.0,45.0,,,
9348,0.0,50.0,50.0,,,
9349,0.0,255.0,255.0,,,
9350,156.0,0.0,156.0,,,
9351,2.0,0.0,2.0,,,
9780,548.0,0.0,548.0,,,
9781,222.0,0.0,222.0,,,
9821,228.0,0.0,228.0,,,
9822,180.0,0.0,180.0,,,
9823,201.0,17.0,218.0,,,
9831,0.0,2020.0,2020.0,0.25,,
10050,68.0,0.0,68.0,,,
10075,185.0,91.0,276.0,1.25,,
10126,145.0,0.0,145.0,,,
10127,6.0,0.0,6.0,,,
10128,0.0,42.0,42.0,,,
10130,52.0,3.0,55.0,,,
10181,386.0,0.0,386.0,,,
10186,140.0,0.0,140.0,,,
10208,60.0,549.0,609.0,5.0,30.0,
10216,172.0,0.0,172.0,,,
10222,377.0,0.0,377.0,,,
10338,11.0,0.0,11.0,,,
10339,92.0,2.0,94.0,,,
10382,423.0,0.0,423.0,,,
10385,76.0,0.0,76.0,,,
10386,268.0,0.0,268.0,,,
10494,165.0,0.0,165.0,,,
10495,283.0,6.0,289.0,1.25,,
10496,124.0,0.0,124.0,,,
10497,165.0,41.0,206.0,1.25,,
10498,496.0,0.0,496.0,,,
10541,22.0,0.0,22.0,,,
10611,147.0,0.0,147.0,,,
10627,48.0,0.0,48.0,,,
10629,397.0,235.0,632.0,,20.0,
10630,173.0,117.0,290.0,1.125,24.0,
10631,383.0,19.0,402.0,0.75,,
10632,250.0,8.0,258.0,0.766841627157266,,
10633,335.0,0.0,335.0,,,
10634,6.0,184.0,190.0,12.0,45.0,
10635,0.0,677.0,677.0,3.64015151525,22.0,
10636,252.0,9.0,261.0,,,
10637,212.0,42.0,254.0,,,
10638,22.0,26.0,48.0,2.13756030885383,,
10639,2.0,86.0,88.0,1.18621630999947,,
10640,27.0,350.0,377.0,,,
10641,26.0,8.0,34.0,0.75,,
10642,265.0,422.0,687.0,2.5,20.0,
10643,23.0,21.0,44.0,2.5,,
10644,280.0,597.0,877.0,5.25,,
10645,30.0,20.0,50.0,2.5,,
10646,10.0,413.0,423.0,5.0,11.0,
10647,113.0,241.0,354.0,5.25,,
10648,42.0,407.0,449.0,6.125,38.75,
10649,43.0,829.0,872.0,6.125,38.75,
10650,20.0,55.0,75.0,15.0,15.0,
10651,36.0,1634.0,1670.0,8.0,8.375,
10652,169.0,16.0,185.0,,,
10653,412.0,179.0,591.0,,,
10654,239.0,106.0,345.0,,,
10659,14.0,0.0,14.0,,,
10665,38.0,0.0,38.0,,,
10666,303.0,0.0,303.0,,,
10667,53.0,0.0,53.0,,,
10668,135.0,0.0,135.0,,,
10669,219.0,12.0,231.0,,,
10670,91.0,0.0,91.0,,,
10671,17.0,24.0,41.0,,,
10672,31.0,0.0,31.0,,,
10673,133.0,0.0,133.0,,,
10674,83.0,564.0,647.0,1.192860610637605,6.94535548602869,
10675,499.0,1.0,500.0,1.25,,
10676,223.0,0.0,223.0,,,
10677,179.0,2.0,181.0,1.25,,
10691,208.0,0.0,208.0,,,
10702,168.0,0.0,168.0,,,
10703,46.0,0.0,46.0,,,
10716,250.0,0.0,250.0,,,
10717,198.0,0.0,198.0,,,
10726,9.0,0.0,9.0,,,
10729,12.0,0.0,12.0,,,
10731,20.0,0.0,20.0,,,
10734,14.0,0.0,14.0,,,
10848,142.0,0.0,142.0,,,
10857,101.0,0.0,101.0,,,
10871,52.0,0.0,52.0,,,
10872,146.0,0.0,146.0,,,
10908,340.0,0.0,340.0,,,
10909,645.0,0.0,645.0,,,
10910,492.0,0.0,492.0,,,
10920,57.0,0.0,57.0,,,
10921,154.0,0.0,154.0,,,
10937,272.0,291.0,563.0,2.75,5.975,100.5
11050,108.0,302.0,410.0,2.5,13.0,
11134,13.0,0.0,13.0,,,
11135,102.0,0.0,102.0,,,
11136,201.0,0.0,201.0,,,
11137,63.0,0.0,63.0,,,
11142,64.0,0.0,64.0,,,
11144,79.0,0.0,79.0,,,
11146,106.0,0.0,106.0,,,
11147,212.0,0.0,212.0,,,
11148,158.0,0.0,158.0,,,
11149,122.0,0.0,122.0,,,
11150,156.0,32.0,188.0,,,
11151,139.0,0.0,139.0,,,
11152,143.0,217.0,360.0,1.25,,
11153,77.0,0.0,77.0,,,
11154,8.0,133.0,141.0,3.0,18.0,
11155,121.0,114.0,235.0,,,
11157,4.0,0.0,4.0,,,
11162,133.0,0.0,133.0,,,
11167,69.0,11.0,80.0,,,
11168,139.0,0.0,139.0,,,
11170,2.0,0.0,2.0,,,
11172,84.0,0.0,84.0,,,
11177,5.0,0.0,5.0,,,
11180,33.0,0.0,33.0,,,
11181,277.0,0.0,277.0,,,
11183,30.0,0.0,30.0,,,
11184,35.0,0.0,35.0,,,
11186,65.0,4.0,69.0,,,
11188,100.0,200.0,300.0,5.0,5.0,
11189,54.0,11.0,65.0,1.5,,
11190,108.0,108.0,216.0,5.0,5.0,
11191,0.0,50.0,50.0,,,
11192,31.0,116.0,147.0,,,
11193,48.0,31.0,79.0,,,
11194,141.0,176.0,317.0,1.75,,
11195,156.0,95.0,251.0,1.32847538428154,2.0,
11196,179.0,92.0,271.0,2.25,,
11201,78.0,0.0,78.0,,,
11210,36.0,0.0,36.0,,,
11211,173.0,115.0,288.0,5.0,7.0,
11212,15.0,128.0,143.0,3.0,16.0,
11242,4.0,0.0,4.0,,,
11243,66.0,1888.0,1954.0,,20.0,
11244,738.0,638.0,1376.0,1.958333333333333,15.95,
11245,18.0,0.0,18.0,,,
11246,16.0,224.0,240.0,,,
11247,76.0,2.0,78.0,6.0,36.0,
11248,0.0,102.0,102.0,6.0,36.0,
11249,6.0,1.0,7.0,6.0,36.0,
11250,130.0,1204.0,1334.0,6.0,32.0,
11251,60.0,2900.0,2960.0,6.0,32.0,
11252,10.0,0.0,10.0,,,
11282,141.0,0.0,141.0,,,
11284,52.0,12.0,64.0,1.25,,
11285,290.0,67.0,357.0,1.25,,
11287,153.0,0.0,153.0,,,
11293,18.0,0.0,18.0,,,
11321,24.0,0.0,24.0,,,
11322,188.0,0.0,188.0,,,
11430,135.0,1038.0,1173.0,,25.0,
11431,144.0,2881.0,3025.0,,25.0,
11504,195.0,0.0,195.0,,,
11533,195.0,0.0,195.0,,,
11534,64.0,0.0,64.0,,,
11584,106.0,0.0,106.0,,,
11813,212.0,0.0,212.0,,,
12048,89.0,0.0,89.0,,,
12050,158.0,0.0,158.0,,,
12060,292.0,0.0,292.0,,,
12062,293.0,0.0,293.0,,,
12063,510.0,0.0,510.0,,,
12064,283.0,0.0,283.0,,,
12065,412.0,39.0,451.0,,,
12066,254.0,69.0,323.0,,,
12067,372.0,0.0,372.0,,,
12070,444.0,1186.0,1630.0,3.0,15.0,
12094,229.0,343.0,572.0,0.75,,
12095,118.0,0.0,118.0,,,
12192,118.0,0.0,118.0,,,
12677,258.0,75.0,333.0,,,
12683,0.0,8.0,8.0,0.75,,
12684,5.0,57.0,62.0,0.75,,
12686,2.0,0.0,2.0,,,
12687,6.0,0.0,6.0,,,
12689,413.0,428.0,841.0,3.0,7.0,
12690,185.0,192.0,377.0,3.0,7.0,
12691,297.0,292.0,589.0,3.0,7.0,
12706,37.0,104.0,141.0,2.5,13.0,
12707,33.0,92.0,125.0,2.5,13.0,
12708,14.0,0.0,14.0,,,
12710,142.0,142.0,284.0,3.0,5.5,90.0
12711,358.0,338.0,696.0,3.0,5.5,90.0
12712,204.0,256.0,460.0,2.5,12.44866071428571,68.3035714285714
12713,52.0,52.0,104.0,3.0,5.89999999999999,93.0
12782,22.0,0.0,22.0,,,
12984,8.0,7.0,15.0,,,
12985,0.0,654.0,654.0,10.75,35.25,150.0
13144,725.0,2457.0,3182.0,1.0,5.0,
13145,94.0,0.0,94.0,,,
13363,357.0,0.0,357.0,,,
13365,268.0,0.0,268.0,,,
13382,657.0,0.0,657.0,,,
13627,230.0,230.0,460.0,,,
13981,207.0,0.0,207.0,,,
13994,1.0,0.0,1.0,,,
13995,112.0,0.0,112.0,,,
14000,591.0,0.0,591.0,,,
14002,30.0,1376.0,1406.0,,12.1601075877689,
14003,6.0,0.0,6.0,,,
14004,171.0,0.0,171.0,,,
14005,41.0,1399.0,1440.0,,16.0,
14007,20.0,819.0,839.0,,,
14008,442.0,1773.0,2215.0,,12.0,
14011,646.0,0.0,646.0,,,
14013,13.0,0.0,13.0,,,
14253,159.0,0.0,159.0,,,
14340,19.0,0.0,19.0,,,
14343,282.0,0.0,282.0,,,
14361,189.0,44.0,233.0,,,
14362,11.0,0.0,11.0,,,
14366,104.0,0.0,104.0,,,
14367,36.0,0.0,36.0,,,
14403,234.0,0.0,234.0,,,
19362,23.0,0.0,23.0,,,
19369,212.0,0.0,212.0,,,
19370,180.0,100.0,280.0,,,
19371,152.0,0.0,152.0,,,
19455,43.0,0.0,43.0,,,
19468,234.0,0.0,234.0,,,
19613,14.0,0.0,14.0,,,
19956,28.0,0.0,28.0,,,
19957,123.0,73.0,196.0,,,
19958,118.0,204.0,322.0,,,
19959,95.0,0.0,95.0,,,
19960,10.0,1022.0,1032.0,,,
19961,23.0,122.0,145.0,,,
19962,16.0,0.0,16.0,,,
19963,11.0,0.0,11.0,,,
19964,17.0,673.0,690.0,,,
20184,31.0,0.0,31.0,,,
20260,591.0,0.0,591.0,,,
20261,2819.0,2654.0,5473.0,3.95959716583074,9.54040283416925,75.0
20267,117.0,0.0,117.0,,,
20328,48.0,98.0,146.0,,,
20424,81.0,47.0,128.0,,,
20425,3.0,0.0,3.0,,,
20469,122.0,0.0,122.0,,,
20470,809.0,0.0,809.0,,,
20472,28.0,0.0,28.0,,,
20486,54.0,0.0,54.0,,,
20492,38.0,0.0,38.0,,,
20495,126.0,0.0,126.0,,,
20720,15.0,0.0,15.0,,,
20854,9.0,0.0,9.0,,,
20855,6.0,0.0,6.0,,,
23019,0.0,6.0,6.0,,,
23020,784.0,1399.0,2183.0,5.0,5.0,
23059,333.0,906.0,1239.0,,,
23060,83.0,223.0,306.0,,,
23064,2.0,0.0,2.0,,,
23622,19.0,150.0,169.0,,,
23623,129.0,170.0,299.0,,,
23624,28.0,98.0,126.0,,,
23625,113.0,173.0,286.0,,,
23626,28.0,124.0,152.0,,,
23627,30.0,102.0,132.0,,,
23628,39.0,125.0,164.0,,,
23629,32.0,95.0,127.0,,,
23630,42.0,138.0,180.0,,,
23631,24.0,80.0,104.0,,,
23632,26.0,45.0,71.0,,,
23740,200.0,0.0,200.0,,,
23821,129.0,0.0,129.0,,,
23822,249.0,208.0,457.0,6.71144278606965,15.4985074626865,2.23880597014925
23833,585.0,0.0,585.0,,,
24047,263.0,10.0,273.0,,,
24048,143.0,0.0,143.0,,,
24064,136.0,1924.0,2060.0,,,
24116,499.0,533.0,1032.0,2.75,5.975,100.5
24243,0.0,1068.0,1068.0,,,
24244,0.0,76.0,76.0,,,
24245,24.0,66.0,90.0,,,
24313,138.0,202.0,340.0,1.75,,
