mgra,on_street_free_spaces,on_street_paid_spaces,on_street_hourly_cost_during_business,on_street_hourly_cost_after_business,off_street_free_spaces,off_street_paid_public_spaces,off_street_paid_private_spaces,off_street_paid_public_hourly_cost_during_business,off_street_paid_public_hourly_cost_after_business,off_street_paid_public_daily_cost,off_street_paid_public_monthly_cost,off_street_paid_private_hourly_cost_during_business,off_street_paid_private_hourly_cost_after_business,off_street_paid_private_daily_cost,off_street_paid_private_monthly_cost,off_street_residential_spaces
2624,15,4,1.25,1.25,0,147,147,,,,,10.0,10.0,59.0,,0
2627,50,0,,,0,108,134,,,,,,,,,94
2633,7,16,,,0,14,22,,,,,,,15.0,,84
2641,1,0,,,,,,,,,,,,,,32
2651,14,7,0.0,0.0,0,0,0,,,,,,,,,200
2657,15,38,,,0,0,22,,,,,,,,,70
2658,64,0,,,,,,,,,,,,,,73
2659,9,0,,,,,,,,,,,,,,69
2663,39,0,,,0,1,82,,,,,,,,,11
2677,6,17,1.25,1.25,0,144,144,,,,,10.0,10.0,10.0,,235
2694,8,21,1.25,1.25,0,80,82,,,,,,,,,131
2701,6,9,1.25,1.25,0,108,116,,,,,,,,,73
2705,22,0,,,0,393,393,,,,,10.0,10.0,30.0,,0
2718,36,5,1.25,0.0,0,16,25,,,,,,,,,205
2727,1,11,1.25,1.25,0,376,376,,,,,7.34282178217821,6.82858910891089,21.3712871287128,,277
2728,0,7,1.25,1.25,0,294,294,,,,,8.85364609892911,8.85364609892911,27.482066972633,,240
2729,26,14,1.25,0.0,0,14,14,,,,,,,,,49
2745,46,0,,,0,140,140,,,,,4.5,4.5,13.5,,97
2746,20,0,,,0,0,0,,,,,,,,,73
2756,11,16,,,0,5,5,,,,,,,,,326
2757,27,0,,,,,,,,,,,,,,90
2761,,,,,,,,,,,,,,,,232
2764,52,0,,,0,60,70,,,,,,,,,109
2768,15,0,0.0,0.0,0,54,54,,,,,8.0,,,150.0,543
2775,50,0,,,0,0,100,,,,,,,,,0
2781,0,21,1.25,0.0,0,0,0,,,,,,,,,64
2784,0,24,1.25,1.25,0,1038,1038,,,,,3.0,3.0,15.5,,123
2787,4,15,1.25,1.25,0,37,69,,,,,,,,,300
2788,0,44,1.25,1.25,0,68,72,,,,,,,,,37
2792,0,5,,,,,,,,,,,,,,54
2794,23,13,1.25,0.0,0,14,34,,,,,,,,,159
2796,,,,,,,,,,,,,,,,57
2800,0,9,,,0,244,244,,,,,8.39506172839506,10.0925925925925,18.2716049382716,,244
2815,0,41,,,0,49,49,,,,,,,,,206
2821,72,0,,,,,,,,,,,,,,325
2822,17,8,1.25,1.25,0,196,228,,,,,1.93846153846153,,32.0,170.0,159
2824,34,4,,,0,18,35,,,,,,,,,168
2828,28,0,,,0,0,0,,,,,,,,,0
2832,7,28,1.25,0.0,0,100,100,,,,,,,,,0
2833,,,,,0,0,0,,,,,,,,,75
2834,0,27,1.25,1.25,,,,,,,,,,,,622
2835,30,7,1.25,0.0,0,155,155,,,,,,,,,152
2836,14,0,,,0,90,100,,,,,12.6981255906752,12.3582379502257,21.4018691588785,124.494382022471,8
2838,6,21,1.25,1.25,,,,,,,,,,,,174
2841,9,3,1.25,1.25,753,1136,1889,,,,,11.0624203821656,11.0,32.1657111819296,164.701689319646,179
2854,1,0,,,0,0,0,,,,,,,,,190
2860,19,5,,,0,135,138,,,,,10.0,10.0,50.0,,38
2864,15,33,,,0,17,28,,,,,,,,,32
2867,,,,,,,,,,,,,,,,130
2870,6,16,,,0,2,12,,,,,,,,,18
2881,0,24,1.25,0.0,0,22,66,,,,,,,,,48
2883,0,22,1.0,1.0,0,84,84,,,,,,,,,82
2884,28,0,,,300,400,704,,,,,1.0,1.0,5.0,,0
2887,0,25,1.24999999999999,1.24999999999999,0,50,50,,,,,,,,,196
2889,17,5,1.25,0.0,0,12,88,,,,,,,,,20
2896,45,0,,,,,,,,,,,,,,214
2903,9,19,1.25,1.25,0,38,78,,,,,,,,,0
2908,50,0,,,0,0,4,,,,,,,,,6
2916,,,,,,,,,,,,,,,,169
2917,,,,,,,,,,,,,,,,476
2918,10,11,1.25,0.0,0,40,40,,,,,,,,,0
2925,52,0,,,0,0,0,,,,,,,,,40
2927,,,,,0,0,0,,,,,,,,,88
2929,0,17,,,0,96,102,,,,,,,50.0,,0
2942,10,6,,,0,22,43,,,,,,,,,9
2944,38,0,,,,,,,,,,,,,,136
2947,,,,,,,,,,,,,,,,0
2949,,,,,,,,,,,,,,,,77
2959,77,0,,,0,324,464,,,,,2.70873786407767,2.70873786407767,13.5436893203883,,0
2964,0,25,,,,,,,,,,,,,,238
2976,,,,,,,,,,,,,,,,120
2979,0,47,,,0,0,101,,,,,,,,,31
2980,57,0,,,0,41,41,,,,,,,,,90
2984,,,,,,,,,,,,,,,,162
2992,0,26,1.25,1.25,0,77,77,,,,,,,,,0
2994,10,27,1.25,0.0,0,80,128,,,,,,,,,107
3000,0,18,,,0,23,47,,,,,,,,,8
3007,,,,,,,,,,,,,,,,216
3009,63,0,,,0,190,230,,,,,4.88151658767772,4.88151658767772,23.8151658767772,103.755776986252,0
3028,16,9,1.25,0.0,0,0,24,,,,,,,,,67
3030,81,0,,,,,,,,,,,,,,72
3032,19,2,1.25,0.0,0,0,89,,,,,,,,,88
3039,0,43,1.10569021695723,1.10569021695723,0,55,55,,,,,,,,,0
3040,0,27,1.13018516683591,1.13018516683591,0,0,0,,,,,,,,,0
3041,37,0,0.0,0.0,0,0,74,,,,,,,,,0
3046,56,0,,,0,6,6,,,,,,,,,212
3051,0,12,1.25,1.25,0,9,9,,,,,,,,,0
3055,6,18,1.25,1.25,0,216,216,,,,,20.0,20.0,20.0,,0
3057,17,7,1.25,0.0,0,0,292,,,,,,,,,0
3059,9,10,1.25,1.25,,,,,,,,,,,,352
3072,13,21,1.25,0.0,0,64,104,,,,,,,,,57
3074,115,3,1.25,0.0,0,3,3,,,,,,,,,77
3078,6,25,1.25,1.25,0,200,206,,,,,,,,,200
3081,6,0,,,,,,,,,,,,,,0
3087,39,0,,,0,0,15,,,,,,,,,32
3098,,,,,,,,,,,,,,,,76
3111,5,0,,,0,2,2,,,,,,,,,5
3112,8,15,1.25,0.0,0,57,67,,,,,,,,,36
3115,40,0,,,,,,,,,,,,,,76
3144,34,0,0.0,0.0,0,11,11,,,,,,,,,74
3150,6,16,1.25,1.25,0,0,80,,,,,,,,,0
3156,78,0,,,,,,,,,,,,,,76
3158,9,0,,,0,0,0,,,,,,,,,0
3168,9,22,1.25,0.0,0,41,59,,,,,,,,,68
3169,16,12,1.25,0.0,0,27,47,,,,,10.0,10.0,15.0,100.0,9
3173,20,104,0.25,0.25,0,14,143,,,,,,,,,140
3177,5,33,0.0,0.0,,,,,,,,,,,,485
3179,0,45,0.816300179835909,0.816300179835909,,,,,,,,,,,,188
3197,0,42,1.25,1.25,0,26,28,,,,,40.0,40.0,40.0,,118
3198,6,0,,,,,,,,,,,,,,218
3201,44,0,,,0,7,44,,,,,,,,,13
3212,,,,,0,0,0,,,,,,,,,106
3217,,,,,,,,,,,,,,,,16
3219,20,0,,,0,0,0,,,,,,,,,0
3225,0,58,0.909803396006256,0.909803396006256,120,0,120,,,,,,,,,0
3226,,,,,,,,,,,,,,,,60
3240,0,79,1.5,1.5,0,0,0,,,,,,,,,121
3243,20,7,1.25,0.0,0,46,53,,,,,,,,,132
3244,14,0,,,,,,,,,,,,,,27
3247,8,15,1.25,0.0,0,15,18,,,,,,,,,69
3254,8,12,1.25,0.0,0,58,58,,,,,,,,,57
3258,,,,,,,,,,,,,,,,151
3263,,,,,0,0,0,,,,,,,,,159
3272,,,,,,,,,,,,,,,,174
3282,0,23,1.0,1.0,0,174,174,,,,,,,,,268
3291,6,0,,,0,0,0,,,,,,,,,131
3293,27,5,,,0,198,204,,,,,,,49.0,,0
3295,,,,,,,,,,,,,,,,116
3297,,,,,,,,,,,,,,,,75
3303,0,41,0.922241434385624,0.922241434385624,0,0,0,,,,,,,,,470
3304,,,,,,,,,,,,,,,,91
3307,34,0,,,,,,,,,,,,,,42
3309,21,0,,,,,,,,,,,,,,245
3312,16,1,,,0,0,0,,,,,,,,,0
3318,3,0,,,0,0,0,,,,,,,,,32
3319,8,7,1.25,0.0,0,0,0,,,,,,,,,45
3326,18,10,0.0,0.0,0,182,182,,,,,,,34.0,,0
3330,8,0,0.0,0.0,108,0,108,3.0,3.0,10.0,,,,,,0
3331,41,0,0.0,0.0,0,0,0,,,,,,,,,138
3334,,,,,,,,,,,,,,,,82
3338,161,0,,,0,162,216,,,,,,,,,97
3341,0,41,1.25,1.25,0,13,26,,,,,,,,,372
3342,0,7,2.5,1.25,0,160,186,,,,,21.3636363636363,21.3636363636363,25.6060606060606,,166
3350,0,28,,,0,0,4,,,,,,,,,155
3359,8,23,1.25,1.25,,,,,,,,,,,,268
3368,3,0,,,,,,,,,,,,,,187
3371,0,24,1.25,1.25,0,0,225,,,,,,,,,242
3386,87,0,,,0,54,54,,,,,,,,,21
3388,0,32,1.25,1.25,0,36,36,,,,,,,,,233
3396,,,,,,,,,,,,,,,,400
3406,6,28,0.5,0.5,0,2,2,,,,,,,,,2
3408,,,,,,,,,,,,,,,,68
3409,17,7,1.25,1.25,0,24,24,,,,,,,,,0
3410,17,12,1.25,1.25,0,667,667,,,,,12.0,16.0,33.0,,0
3411,,,,,,,,,,,,,,,,512
3415,0,6,,,,,,,,,,,,,,37
3419,26,0,0.0,0.0,0,0,0,,,,,,,,,10
3424,0,31,1.25,1.25,0,21,26,,,,,,,,,9
3426,14,4,1.25,1.25,0,396,396,,,,,8.0,8.0,37.0,,0
3427,17,17,1.25,1.25,24,0,49,,,,,,,,,0
3437,,,,,,,,,,,,,,,,265
3442,197,6,1.25,0.0,0,0,12,,,,,,,,,186
3450,20,0,,,,,,,,,,,,,,214
3454,,,,,,,,,,,,,,,,4
3455,0,33,1.25,1.25,0,298,298,,,,,10.323287769526,8.09169267750152,23.2080508018512,91.2610770279481,0
3457,107,0,,,0,494,554,,,,,2.515625,2.515625,14.3359375,,0
3461,,,,,,,,,,,,,,,,128
3468,0,18,0.54900369042619,0.54900369042619,0,34,55,,,,,30.0,30.0,27.5,,67
3469,36,0,,,0,136,214,,,,,,,,,0
3470,15,1,1.25,0.0,0,24,53,,,,,,,,,148
3474,49,0,,,0,64,146,,,,,2.59756097560975,2.59756097560975,11.7073170731707,,0
3478,28,0,,,0,8,8,,,,,,,,,107
3484,,,,,,,,,,,,,,,,212
3488,6,18,,,0,178,234,,,,,,,,,0
3504,0,19,1.25,1.25,0,373,373,,,,,,,,,457
3514,0,27,1.25,1.25,0,83,97,,,,,9.0,8.25,15.0,175.0,35
3516,,,,,,,,,,,,,,,,133
3523,40,0,,,,,,,,,,,,,,62
3528,11,19,1.25,1.25,0,142,142,,,,,4.78181818181818,5.04545454545454,14.3045454545454,176.027015437392,27
3531,0,33,1.25,1.25,0,100,100,,,,,6.64044943820224,5.32808988764044,9.05949641261676,20.2247191011235,72
3547,12,5,1.25,0.0,0,0,24,,,,,,,,,6
3551,,,,,,,,,,,,,,,,163
3552,15,7,0.633523331445059,0.0,0,30,96,,,,,,,,,99
3558,,,,,,,,,,,,,,,,194
3570,9,3,,,24,8,71,0.75,0.75,,,,,,,5
3575,35,0,,,0,4,11,,,,,,,,,63
3576,10,8,1.25,0.0,0,27,27,,,,,,,,,48
3583,0,16,1.25,1.25,0,96,133,,,,,25.0,25.0,25.0,,762
3590,5,46,0.5,0.5,0,0,58,,,,,,,,,53
3601,34,0,0.0,0.0,,,,,,,,,,,,100
3602,23,0,,,0,6,85,,,,,,,,,118
3610,15,8,1.25,1.25,0,248,263,,,,,8.21774193548387,8.17741935483871,15.0,96.6935483870967,0
3639,39,0,0.0,0.0,0,4,16,,,,,,,,,32
3640,17,6,1.25,0.0,0,131,191,,,,,,,,,3
3643,,,,,,,,,,,,,,,,94
3645,14,8,2.5,1.25,0,56,56,,,,,,,,,55
3651,8,62,,,,,,,,,,,,,,295
3653,0,28,1.0,1.0,0,59,59,,,,,,,,,293
3667,34,5,1.25,0.0,0,1,36,,,,,,,,,238
3675,,,,,,,,,,,,,,,,84
3677,13,10,1.25,0.0,0,7,22,,,,,,,,,209
3690,,,,,,,,,,,,,,,,137
3693,28,3,1.25,0.0,0,0,3,,,,,,,,,351
3697,24,3,1.25,0.0,0,6,34,,,,,,,,,42
3699,22,0,,,0,24,24,,,,,5.0,5.0,40.0,,43
3700,9,0,,,,,,,,,,,,,,46
3709,14,40,,,0,0,31,,,,,,,,,12
3710,41,0,,,,,,,,,,,,,,76
3724,7,12,1.25,0.0,0,52,66,,,,,,2.0,,,15
3725,38,0,,,0,13,23,,,,,,,,,29
3742,,,,,,,,,,,,,,,,130
3750,13,8,1.24999999999999,0.0,0,11,32,,,,,,,,,138
3751,79,0,,,0,6,6,,,,,,,,,394
3752,8,19,1.25,0.0,0,44,44,,,,,,,,,18
3753,22,2,1.25,0.0,0,20,20,,,,,,,,,0
3754,21,0,,,0,0,0,,,,,,,,,79
3755,59,1,1.25,0.0,0,0,0,,,,,,,,,115
3774,19,0,,,,,,,,,,,,,,216
3896,24,7,1.25,0.0,0,4,72,,,,,,,,,0
3897,,,,,,,,,,,,,,,,0
3898,,,,,,,,,,,,,,,,0
3901,54,5,1.25,0.0,0,0,17,,,,,,,,,0
3902,78,1,1.25,0.0,0,0,32,,,,,,,,,0
3904,17,0,1.25,0.0,0,0,22,,,,,,,,,0
3906,,,,,,,,,,,,,,,,5
3907,34,0,,,0,16,47,,,,,,,,,0
3908,,,,,0,0,20,,,,,,,,,0
3909,,,,,0,0,8,,,,,,,,,0
3910,32,0,,,0,0,12,,,,,,,,,0
3911,,,,,,,,,,,,,,,,0
3912,35,0,,,0,28,54,,,,,,,,,0
3913,21,0,,,0,0,45,,,,,,,,,0
3914,27,0,,,0,0,79,,,,,,,,,0
3915,26,0,,,0,5,30,,,,,,,,,5
3935,,,,,,,,,,,,,,,,0
3938,292,0,,,0,1122,1122,,,,,17.8846153846153,17.8846153846153,40.3846153846153,75.0,0
4016,94,0,,,0,42,96,,,,,5.0,5.0,,,37
4046,96,4,1.25,0.0,0,0,114,,,,,,,,,4
4048,,,,,,,,,,,,,,,,2
4073,,,,,,,,,,,,,,,,201
4074,20,12,1.25,0.0,0,6,17,,,,,,,,,268
4075,55,1,1.25,0.0,0,1,11,,,,,,,,,254
4084,,,,,,,,,,,,,,,,0
4120,,,,,,,,,,,,,,,,168
4168,7,25,0.0,0.0,0,686,686,,,,,4.0,4.0,12.0,,0
4169,18,0,0.0,0.0,0,0,0,,,,,,,,,0
4170,,,,,,,,,,,,,,,,397
4171,29,8,0.0,0.0,0,320,322,,,,,5.75,5.75,40.1,,0
4172,14,2,0.0,0.0,0,132,132,,,,,9.03658536585365,9.41158536585365,19.8932926829268,,0
4173,0,41,,,,,,,,,,,,,,119
4174,16,0,,,0,0,0,,,,,,,,,0
4175,9,6,1.25,0.0,0,0,12,,,,,,,,,0
4176,48,0,,,32,0,32,,,,,,,,,79
4190,35,0,,,0,3,37,,,,,,,,,76
4198,,,,,0,7,7,,,,,,,,,325
4202,,,,,,,,,,,,,,,,80
4203,,,,,,,,,,,,,,,,94
4222,8,0,,,0,40,56,,,,,,,,,52
4223,56,0,,,,,,,,,,,,,,59
4228,32,0,,,,,,,,,,,,,,0
4229,25,0,,,,,,,,,,,,,,159
4230,121,0,,,,,,,,,,,,,,504
4231,62,0,,,,,,,,,,,,,,71
4232,40,0,,,0,0,0,,,,,,,,,217
4235,60,0,,,0,35,59,,,,,3.0,3.0,24.0,,178
4266,25,0,,,0,0,0,,,,,,,,,250
4276,,,,,735,52,787,2.75,1.5,5.975,100.5,,,,,0
4298,,,,,,,,,,,,,,,,17
4299,22,4,1.25,0.0,0,0,23,,,,,,,,,8
4300,,,,,,,,,,,,,,,,24
4303,,,,,,,,,,,,,,,,0
4312,53,0,,,,,,,,,,,,,,0
4450,,,,,,,,,,,,,,,,0
4493,,,,,,,,,,,,,,,,0
4495,20,0,,,0,0,0,,,,,,,,,0
4496,,,,,601,0,601,3.0,3.0,,,,,,,0
4580,,,,,0,0,0,,,,,,,,,0
4583,14,0,,,155,0,155,3.0,3.0,,,,,,,0
4584,64,0,,,0,0,850,,,,,,,,,0
4621,9,24,,,,,,,,,,,,,,516
4870,41,0,,,,,,,,,,,,,,266
4871,,,,,,,,,,,,,,,,380
4900,24,2,,,0,0,0,,,,,,,,,90
4910,30,0,,,0,830,852,,,,,10.0,10.0,19.95,,0
4915,,,,,,,,,,,,,,,,0
4923,15,2,,,0,550,1050,,,,,16.0,16.0,32.0,252.5,0
4926,0,6,,,0,0,6,,,,,,,,,0
4934,,,,,,,,,,,,,,,,0
4960,,,,,,,,,,,,,,,,42
4976,,,,,,,,,,,,,,,,132
4977,10,0,,,0,65,447,,,,,,,,,0
4985,101,0,,,0,0,0,,,,,,,,,296
4991,,,,,,,,,,,,,,,,34
5033,0,21,1.5,1.5,0,0,0,,,,,,,,,0
5049,26,0,,,0,0,0,,,,,,,,,0
5057,86,0,,,,,,,,,,,,,,190
5066,33,0,,,,,,,,,,,,,,142
5099,,,,,,,,,,,,,,,,90
5107,26,249,0.25,0.25,0,18,41,,,,,,,,,268
5116,16,0,,,0,0,0,,,,,,,,,14
5126,62,0,,,0,6,6,,,,,,,,,251
5143,32,16,2.17605050806241,1.10948647323318,0,57,103,,,,,7.0,7.0,12.0,65.0,62
5149,0,6,,,,,,,,,,,,,,28
5158,61,10,,,0,1006,1006,,,,,,,,,0
5159,8,16,1.25,1.25,0,500,522,,,,,,,,,8
5171,10,0,,,482,18,500,3.0,3.0,7.0,,3.0,3.0,,,0
5172,,,,,,,,,,,,,,,,154
5177,2,0,,,0,0,0,,,,,,,,,44
5192,0,17,1.0,1.0,0,0,0,,,,,,,,,290
5225,,,,,,,,,,,,,,,,56
5238,,,,,,,,,,,,,,,,121
5245,0,41,1.25,1.25,,,,,,,,,,,,198
5255,,,,,,,,,,,,,,,,0
5287,4,0,,,,,,,,,,,,,,55
5288,0,30,1.25,1.25,0,35,35,,,,,,,,,123
5303,36,0,,,0,0,0,,,,,,,,,0
5304,12,0,,,2196,1639,3893,3.0,3.0,,,3.0,3.0,15.0,,0
5314,61,1,,,0,0,148,,,,,,,,,114
5320,,,,,,,,,,,,,,,,84
5334,60,0,,,,,,,,,,,,,,100
5341,6,0,,,,,,,,,,,,,,313
5342,115,7,1.25,0.0,,,,,,,,,,,,0
5351,,,,,,,,,,,,,,,,0
5358,16,7,1.5,1.5,154,0,154,,,5.0,,,,,,0
5360,,,,,0,0,0,,,,,,,,,1001
5398,66,0,,,,,,,,,,,,,,95
5424,0,43,1.5,1.5,,,,,,,,,,,,104
5428,56,86,0.25,0.25,0,25,62,,,,,,,,,154
5469,,,,,,,,,,,,,,,,172
5493,28,57,,,0,218,218,,,,,10.0,10.0,15.3488372093023,175.813953488372,322
5495,18,39,1.25,0.0,0,0,214,,,,,,,,,149
5503,0,28,1.25,0.0,0,38,116,,,,,,,,,40
5524,239,0,,,0,6,67,,,,,,,,,103
5528,53,3,1.25,0.0,0,18,46,,,,,,,,,184
5561,,,,,,,,,,,,,,,,0
5562,48,0,,,0,764,1301,,,,,18.0,18.0,27.0,,0
5565,28,1,1.25,0.0,0,94,197,,,,,,,,,115
5577,47,0,,,0,0,0,,,,,,,,,102
5582,0,1,0.25,0.25,0,0,0,,,,,,,,,137
5611,70,0,,,0,0,0,,,,,,,,,26
5615,5,0,,,0,0,86,,,,,,,,,13
5619,48,22,1.25,1.25,403,475,878,,15.0,,,,,,,0
5624,,,,,0,0,0,,,,,,,,,0
5625,5,0,,,0,0,219,,,,,,,,,497
5626,52,0,,,0,691,965,,,,,2.40427927927927,2.40427927927927,11.6073968705547,5.52631578947368,0
5671,,,,,,,,,,,,,,,,45
5681,8,0,,,,,,,,,,,,,,45
5682,12,0,,,,,,,,,,,,,,0
5683,,,,,,,,,,,,,,,,85
5698,72,0,,,,,,,,,,,,,,0
5710,43,0,,,0,0,0,,,,,,,,,217
5721,,,,,,,,,,,,,,,,16
5736,48,0,,,500,1290,2128,,,,,2.77797202797202,2.77797202797202,4.19580419580419,,0
5741,15,0,,,0,229,294,,,,,3.0,3.0,11.2435897435897,,0
5747,,,,,,,,,,,,,,,,180
5751,14,0,,,,,,,,,,,,,,120
5761,19,42,1.25,0.0,0,0,4,,,,,,,,,0
5779,104,0,,,0,11,121,,,,,,,,,123
5799,,,,,,,,,,,,,,,,300
5801,16,4,,,0,406,406,,,,,8.0,8.0,24.2484227129337,175.0,0
5815,12,14,1.25,1.25,0,708,708,,,,,11.0,8.5,31.5,,0
5821,51,13,1.25,0.0,0,23,49,,,,,,,,,174
5839,9,54,0.0,0.0,0,3,3,,,,,,,,,164
5873,,,,,,,,,,,,,,,,211
5911,35,0,,,,,,,,,,,,,,57
5921,,,,,,,,,,,,,,,,0
5922,31,18,1.25,0.0,0,0,19,,,,,,,,,34
5939,5,64,1.35987970917257,1.35987970917257,75,8,179,2.0,,,,,,,,138
5940,67,0,,,0,33,33,,,,,,,,,0
5950,15,0,,,,,,,,,,,,,,288
5995,32,0,,,0,0,91,,,,,,,,,0
6011,,,,,0,0,0,,,,,,,,,434
6037,39,16,1.25,0.0,0,28,53,,,,,3.0,3.0,8.0,90.0,173
6040,15,0,,,,,,,,,,,,,,0
6047,51,0,,,0,28,91,,,,,,,,,539
6066,,,,,,,,,,,,,,,,23
6072,68,0,,,0,500,580,,,,,,,,,0
6090,,,,,,,,,,,,,,,,1720
6104,202,0,,,0,30,54,,,,,,,,,223
6122,,,,,,,,,,,,,,,,31
6129,23,2,1.25,0.0,,,,,,,,,,,,151
6154,,,,,,,,,,,,,,,,0
6155,163,0,,,298,546,1020,,,,,8.0,8.0,12.5,182.5,0
6164,72,0,,,0,0,0,,,,,,,,,346
6173,,,,,,,,,,,,,,,,189
6179,0,37,1.5,1.5,80,0,80,,,2.0,,,,,,106
6200,6,0,,,0,0,0,,,,,,,,,0
6208,0,78,0.0,0.0,,,,,,,,,,,,110
6212,0,47,0.25,0.25,0,40,72,,,,,,,,,279
6227,4,24,,,0,0,100,,,,,,,,,0
6248,,,,,,,,,,,,,,,,0
6267,68,0,,,0,450,604,,,,,,,13.0,,0
6268,32,0,,,,,,,,,,,,,,106
6271,120,12,1.5,1.5,170,0,170,3.76275510204081,2.69132653061224,4.76275510204081,,,,,,898
6272,,,,,0,0,0,,,,,,,,,0
6283,3,40,0.75,0.75,0,0,0,,,,,,,,,13
6284,45,0,,,0,1365,1365,,,,,,,7.5,,0
6291,3,63,,,0,0,7,,,,,,,,,49
6293,38,0,,,0,5,17,,,,,,,,,5
6303,87,0,,,,,,,,,,,,,,190
6309,,,,,302,0,302,3.0,1.5,5.5,90.0,,,,,0
6328,26,2,1.25,0.0,,,,,,,,,,,,34
6333,50,0,,,0,119,119,,,,,5.0,5.0,,,9
6339,14,9,1.25,0.0,0,15,33,,,,,,,,,0
6381,7,6,1.25,0.0,0,17,37,,,,,,,,,209
6419,14,0,,,0,6,9,,,,,,,,,0
6421,31,0,,,0,1616,1616,,,,,5.38461538461538,5.38461538461538,12.3076923076923,,0
6427,14,9,1.25,0.0,0,606,756,,,,,3.0913498827585,3.20631067961165,18.9931427795505,,25
6434,2,15,1.25,1.25,0,26,52,,,,,2.5,5.0,10.0,,104
6452,8,0,,,0,333,333,,,,,3.75,3.75,21.0,,0
6466,35,3,1.25,0.0,0,0,0,,,,,,,,,61
6474,,,,,,,,,,,,,,,,0
6516,20,0,,,0,49,59,,,,,,,,,0
6527,0,42,1.5,1.5,0,108,108,,,,,,,,,0
6532,84,58,,,0,0,1144,,,,,,,,,187
6540,,,,,,,,,,,,,,,,87
6594,,,,,,,,,,,,,,,,14
6603,52,11,0.0,0.0,0,0,0,,,,,,,,,0
6611,9,3,1.25,1.25,0,162,515,,,,,12.0,12.0,30.0,242.5,299
6617,3,0,,,,,,,,,,,,,,0
6619,5,24,1.25,1.25,0,0,0,,,,,,,,,0
6625,56,0,0.0,0.0,0,0,0,,,,,,,,,253
6631,12,30,,,0,0,3,,,,,,,,,56
6644,28,0,,,,,,,,,,,,,,162
6647,8,45,1.5,1.5,18,0,18,3.0,3.0,10.0,,,,,,214
6660,,,,,0,0,0,,,,,,,,,0
6669,6,11,,,0,10,21,,,,,,,,,171
6676,,,,,0,0,0,,,,,,,,,0
6678,114,0,,,0,0,99,,,,,,,,,170
6689,11,0,,,,,,,,,,,,,,0
6696,0,3,,,,,,,,,,,,,,198
6697,86,0,,,0,59,359,,,,,,,,,218
6699,30,0,,,0,0,931,,,,,,,,,0
6723,4,52,1.5,1.5,0,0,0,,,,,,,,,170
6726,26,73,1.25,0.0,0,230,593,,,,,,,,,13
6742,,,,,,,,,,,,,,,,131
6760,95,0,,,,,,,,,,,,,,0
6773,4,0,,,,,,,,,,,,,,1168
6794,,,,,,,,,,,,,,,,367
6795,5,25,,,0,0,91,,,,,,,,,119
6801,64,2,1.25,0.0,0,18,46,,,,,5.0,5.0,15.0,85.0,243
6856,,,,,,,,,,,,,,,,88
6882,82,2,1.25,0.0,0,12,12,,,,,,,,,136
6886,6,31,,,0,0,22,,,,,,,,,8
6911,,,,,0,0,0,,,,,,,,,0
6914,28,0,,,0,130,130,,,,,,,,,0
6921,11,40,1.25,1.25,0,29,29,,,,,,,,,5
6942,,,,,,,,,,,,,,,,298
6943,,,,,,,,,,,,,,,,179
6997,,,,,126,0,126,3.0,1.5,5.9,93.0,,,,,0
7007,9,0,,,0,0,0,,,,,,,,,291
7010,,,,,,,,,,,,,,,,0
7015,7,148,0.25,0.25,0,30,91,,,,,,,,,393
7017,86,0,,,0,29,623,,,,,,,,,116
7023,20,0,,,0,0,129,,,,,,,,,35
7026,51,0,,,0,482,482,,,,,4.62299876270106,4.62299876270106,17.7366240485921,,0
7042,,,,,0,0,0,,,,,,,,,0
7047,16,0,,,0,7,7,,,,,15.0,15.0,50.0,,175
7058,18,0,,,0,0,0,,,,,,,,,0
7073,32,9,1.25,1.25,0,0,0,,,,,,,,,0
7084,,,,,,,,,,,,,,,,216
7096,,,,,,,,,,,,,,,,363
7098,,,,,,,,,,,,,,,,11
7122,,,,,,,,,,,,,,,,0
7135,19,11,,,0,18,20,,,,,,,50.0,,14
7136,8,13,1.25,1.25,0,138,142,,,,,11.0,11.0,20.0,,0
7137,10,0,,,200,188,388,1.0,,,,8.0,8.0,24.0,,0
7140,52,0,,,,,,,,,,,,,,120
7154,20,0,,,,,,,,,,,,,,257
7161,26,0,,,0,88,210,,,,,,,10.0,250.0,3
7167,98,0,,,228,41,269,3.0,3.0,,,3.0,3.0,15.0,,61
7174,14,0,,,0,1,1,,,,,,,19.95,,0
7197,,,,,,,,,,,,,,,,338
7200,,,,,,,,,,,,,,,,65
7207,,,,,,,,,,,,,,,,43
7212,13,0,,,,,,,,,,,,,,22
7219,66,0,,,32,28,87,0.5,0.5,,,,,,,112
7238,140,1,1.25,0.0,0,25,33,,,,,,,,,126
7239,61,0,,,0,0,0,,,,,,,,,66
7240,26,0,,,0,0,0,,,,,,,,,11
7241,76,0,,,0,15,15,,,,,,,,,42
7246,76,0,,,12,25,197,,,,,,,,,49
7250,,,,,,,,,,,,,,,,185
7252,,,,,,,,,,,,,,,,218
7257,6,28,1.25,1.25,0,0,0,,,,,,,,,105
7280,,,,,,,,,,,,,,,,288
7290,86,23,1.25,0.0,0,20,62,,,,,,,,,162
7306,,,,,,,,,,,,,,,,0
7318,16,0,,,620,0,620,,,,,,,,,0
7325,2,0,,,,,,,,,,,,,,0
7335,37,4,0.75,0.0,0,29,71,,,,,,,,,75
7337,96,0,,,0,0,0,,,,,,,,,0
7352,,,,,,,,,,,,,,,,0
